long,lat,year,TimePeriod,RCP,scenario,treecanopy,Ann_Herb,Bare,Herb,Litter,Shrub,DrySoilDays_Summer_whole,Evap_Summer,ExtremeShortTermDryStress_Summer_whole,FrostDays_Winter,NonDrySWA_Summer_whole,PPT_Winter,PPT_Summer,PPT_Annual,T_Winter,T_Summer,T_Annual,Tmax_Summer,Tmin_Winter,VWC_Winter_whole,VWC_Spring_whole,VWC_Summer_whole,VWC_Fall_whole
-110.0472,37.60413,2022,NT,4.5,sc31,0,0,84,5,11,7,0,3.915911249,36.274,50,0.076996777,5.35,7.1,2.14,3.827389,23.96375,10.24935,37.4,-7.44,0.126695982,0.078461335,0.043523607,0.088693576
-110.0472,37.60413,2022,NT,4.5,sc32,0,0,84,5,11,7,0,2.054986776,37.773,64,0.000313759,3.05,3.4,8.11,3.146444,24.8412,13.36511,39.5,-8.96,0.118021057,0.065654104,0.041405334,0.084504184
-110.0472,37.60413,2022,NT,4.5,sc33,0,0,84,5,11,7,0,1.809082339,37.143,76,0.154736784,8.24,5.23,5.23,-0.4982778,23.62049,23.62049,37.77,-19.55,0.117798444,0.084133969,0.044133175,0.10704436
-110.0472,37.60413,2022,NT,4.5,sc34,0,0,84,5,11,7,0,2.579759876,35.201,72,0.31467014,3.02,11.53,14.13,2.083056,24.82071,12.74764,35.57,-12.18,0.111910195,0.090899491,0.047877577,0.119067905
-110.0472,37.60413,2022,NT,4.5,sc35,0,0,84,5,11,7,0,1.532413863,36.588,80,0.000171338,4.47,1.86,,2.190444,24.15049,,37.86,-15.29,0.103518583,0.080877487,0.040869377,0.058951231
-110.0472,37.60413,2022,NT,4.5,sc36,0,0,84,5,11,7,0,2.72128558,36.373,75,0.047399604,2.44,7.65,,2.263222,24.77663,,36.95,-10.16,0.05611483,0.046871444,0.042915607,0.06617007
-110.0472,37.60413,2022,NT,4.5,sc37,0,0,84,5,11,7,0,1.844065352,36.343,68,0.000118401,2.96,2.48,2.96,1.702333,24.46527,1.702333,37.63,-14.6,0.059412442,0.047792971,0.041093441,0.047926572
-110.0472,37.60413,2022,NT,4.5,sc38,0,0,84,5,11,7,0,4.824275236,38.67,75,0.461985786,6.53,11.23,11.23,0.5715556,23.98647,23.98647,40.16,-11.92,0.119519418,0.081487634,0.051599923,0.069918693
-110.0472,37.60413,2022,NT,4.5,sc39,0,0,84,5,11,7,0,3.336992112,36.768,68,0.031994071,3.57,5.85,3.57,2.455889,25.52098,2.455889,37.92,-12.75,0.057038538,0.050159899,0.042388029,0.043210005
-110.0472,37.60413,2022,NT,4.5,sc40,0,0,84,5,11,7,0,3.328580294,38.279,81,0.000371229,6.75,4.67,6.92,0.1285556,26.00549,26.00549,39.02,-12.4,0.128613091,0.090381311,0.041456144,0.068329685
-110.0472,37.60413,2022,NT,4.5,sc41,0,0,84,5,11,7,0,2.178498163,37.879,79,0.003211238,5.76,3.52,,-0.9285556,25.86272,,39.3,-27.72,0.067307635,0.054169074,0.041469512,0.042840811
-110.0472,37.60413,2022,NT,8.5,sc42,0,0,84,5,11,7,0,2.921339515,36.707,72,0.000652201,10.8,4.55,7.4,0.9901111,23.95837,10.65848,38.03,-12.98,0.122529558,0.09147359,0.041567539,0.060342386
-110.0472,37.60413,2022,NT,8.5,sc43,0,0,84,5,11,7,0,5.094772615,37.032,61,0.114768742,7.85,10.76,10.76,2.369444,23.84049,2.369444,37.74,-8.15,0.108305368,0.092276896,0.044285273,0.079099607
-110.0472,37.60413,2022,NT,8.5,sc44,0,0,84,5,11,7,0,2.969683421,37.094,64,0.112321683,6.22,7.42,6.22,2.404444,24.69946,2.404444,38.54,-15.4,0.116226389,0.074315857,0.044084429,0.050351777
-110.0472,37.60413,2022,NT,8.5,sc45,0,0,84,5,11,7,0,3.719743017,38.338,63,0.039100251,1.85,6.83,6.83,2.708,25.46658,12.06717,39.66,-8.65,0.107567089,0.085207838,0.042260572,0.059345239
-110.0472,37.60413,2022,NT,8.5,sc46,0,0,84,5,11,7,0,1.342596259,39.096,77,0.000108581,4.43,1.79,5.38,3.109389,26.36685,14.61615,39.84,-7.58,0.059849631,0.045683642,0.04061318,0.049548158
-110.0472,37.60413,2022,NT,8.5,sc47,0,0,84,5,11,7,0,2.123216679,37.318,72,0.176310634,14.76,5.57,4.18,0.4206111,23.59391,13.66571,39.71,-12.04,0.123914063,0.080148293,0.045076783,0.048831104
-110.0472,37.60413,2022,NT,8.5,sc48,0,0,84,5,11,7,0,4.322469123,38.609,84,0.146111499,2.14,9.5,2.14,1.290667,26.13228,1.290667,40.14,-13.12,0.108248052,0.058357005,0.04479284,0.04406781
-110.0472,37.60413,2022,NT,8.5,sc49,0,0,84,5,11,7,0,1.93922607,36.66,62,0.000101818,4.62,2.45,,2.770222,24.54696,,37.73,-9.54,0.085358183,0.092173718,0.040785102,0.06984735
-110.0472,37.60413,2022,NT,8.5,sc50,0,0,84,5,11,7,0,5.638394833,32.844,74,0.145572794,7.24,12.5,,0.3586667,21.0675,,33.99,-12.75,0.106241372,0.093639861,0.045063651,0.065624261
-110.0472,37.60413,2022,NT,8.5,sc51,0,0,84,5,11,7,0,2.818297979,38.395,65,0.219355481,6.83,7.7,,0.8628333,25.34212,,39.04,-17.57,0.107631207,0.090564046,0.04588251,0.111997067
-110.0472,37.60413,2022,NT,8.5,sc52,0,0,84,5,11,7,0,2.155973122,37.903,61,0.008078864,3.36,3.22,,4.104556,24.8375,,39.51,-8.22,0.087863405,0.063816428,0.041502854,0.04197094
-110.0472,37.60413,2022,NT,8.5,sc53,0,0,84,5,11,7,0,2.366866568,36.059,80,0.000179741,2.24,3.36,,0.7013889,23.73804,,36.71,-11.16,0.084337357,0.051460618,0.041095892,0.093219038
-110.0472,37.60413,2022,NT,8.5,sc54,0,0,84,5,11,7,0,3.828834118,36.851,72,0.332158688,10.02,8.4,6.84,2.439611,25.25924,9.89587,37.58,-9.89,0.110681636,0.083265771,0.048310429,0.043520331
-110.0472,37.60413,2022,NT,8.5,sc55,0,0,84,5,11,7,0,4.523066496,35.88,56,0.257265522,6.22,8.94,,3.738056,24.01,,37.94,-8.02,0.108459284,0.099658181,0.046753729,0.057708135
-110.0472,37.60413,2022,NT,8.5,sc56,0,0,84,5,11,7,0,1.687816857,37.248,81,0.035157735,4.77,3.59,7.99,0.4376111,23.92408,12.54973,38.07,-14.69,0.080279141,0.059656426,0.042275103,0.066798284
-110.0472,37.60413,2022,NT,8.5,sc57,0,0,84,5,11,7,0,2.045823765,39.292,50,0.012521597,1.76,3.6,8.29,4.985444,26.27989,14.69049,41.26,-6.65,0.044602294,0.067358815,0.041634801,0.100824436
-110.0472,37.60413,2022,NT,8.5,sc58,0,0,84,5,11,7,0,2.316344676,40.915,56,0.018908342,4.95,4.3,4.76,2.538722,26.39924,13.50995,42.86,-12.05,0.095515254,0.082943208,0.041803796,0.047250104
-110.0472,37.60413,2022,NT,8.5,sc59,0,0,84,5,11,7,0,4.789656824,37.059,80,0.206367206,8.56,9.95,9.95,-0.4130556,24.0644,12.3738,37.92,-19.04,0.130472985,0.081620432,0.04617484,0.062652289
-110.0472,37.60413,2022,NT,8.5,sc60,0,0,84,5,11,7,0,4.136432958,35.926,81,0.077760076,7.2,7.95,7.2,-0.4980556,24.33723,-0.4980556,36.83,-15.34,0.134812157,0.094389286,0.043511048,0.053634465
-110.0472,37.60413,2022,NT,8.5,sc61,0,0,84,5,11,7,0,1.801257746,37.913,79,0.013767493,6.68,3.44,,1.231778,24.83457,,38.8,-12,0.135499776,0.07888898,0.041530156,0.061277753
-110.0472,37.60413,2023,NT,4.5,sc22,0,0,84,5,11,7,0,2.348680355,36.829,78,0.008386397,2.97,5.31,,0.7502222,24.55663,,38.5,-13.45,0.052658228,0.048647137,0.041689959,0.078875502
-110.0472,37.60413,2023,NT,4.5,sc23,0,0,84,5,11,7,0,4.245235523,35.135,82,0.002070848,10.58,6.12,3.04,0.08416667,23.75788,10.79712,36.64,-12.08,0.133642234,0.081521691,0.04164537,0.059405974
-110.0472,37.60413,2023,NT,4.5,sc24,0,0,84,5,11,7,0,1.887024437,37.858,75,0.00031344,3.35,2.47,2.47,1.611278,26.12402,26.12402,38.33,-10.07,0.116884309,0.067329459,0.041273504,0.042946659
-110.0472,37.60413,2023,NT,4.5,sc25,0,0,84,5,11,7,0,4.992066097,36.488,56,0.691268745,12.93,15.35,15.35,2.030611,25.11875,25.11875,38.72,-14.78,0.111815408,0.089332788,0.056390218,0.04528922
-110.0472,37.60413,2023,NT,4.5,sc26,0,0,84,5,11,7,0,0.503722097,36.932,73,1.61E-08,8.2,0.49,3.55,1.631167,24.07234,12.9811,38.12,-10.31,0.066139222,0.088438512,0.040460932,0.046478381
-110.0472,37.60413,2023,NT,4.5,sc27,0,0,84,5,11,7,0,3.328629319,36.179,68,0.000335147,4.38,4.9,,3.2185,23.47283,,37.38,-11.19,0.067267107,0.051756364,0.041574723,0.057152824
-110.0472,37.60413,2023,NT,4.5,sc28,0,0,84,5,11,7,0,2.619871175,35.883,86,0.000329036,2.4,3.78,,-0.3591667,24.22793,,36.81,-19.06,0.0508788,0.042430437,0.041349095,0.098730563
-110.0472,37.60413,2023,NT,4.5,sc29,0,0,84,5,11,7,0,3.334927548,36.029,74,0.02876542,4.83,7.62,6.57,0.4207222,23.19,11.77978,37.9,-20.55,0.058948416,0.061275024,0.042565823,0.067857789
-110.0472,37.60413,2023,NT,4.5,sc30,0,0,84,5,11,7,0,2.348005549,37.086,76,0.016102092,10.94,4.82,24.8,-0.6000556,24.8469,-0.6000556,38.37,-17.11,0.102525021,0.086343718,0.041376388,0.120471655
-110.0472,37.60413,2023,NT,4.5,sc31,0,0,84,5,11,7,0,3.903357133,36.594,89,1.075079602,3.33,14.18,,-1.188556,23.74484,,38.1,-18.38,0.11127376,0.063298349,0.064116219,0.086594989
-110.0472,37.60413,2023,NT,4.5,sc32,0,0,84,5,11,7,0,3.199319364,38.634,78,0.119602509,2.18,7.14,7.14,3.054333,25.64033,25.64033,38.95,-8.24,0.068330494,0.056617323,0.044254164,0.103216258
-110.0472,37.60413,2023,NT,4.5,sc33,0,0,84,5,11,7,0,4.543930483,35.93,72,0.177931544,5.87,10.01,,0.1401667,23.4169,,37.03,-12.64,0.130334893,0.08699784,0.045436736,0.087808634
-110.0472,37.60413,2023,NT,4.5,sc34,0,0,84,5,11,7,0,3.153661901,37.719,65,0.000586545,5.92,4.89,,2.544333,25.79853,,38.94,-9.67,0.109471082,0.09202895,0.041354265,0.064564606
-110.0472,37.60413,2023,NT,4.5,sc35,0,0,84,5,11,7,0,3.311357661,37.174,71,0.042713585,4.1,6.61,6.61,1.616722,24.46984,24.46984,38.39,-11.03,0.07583557,0.05178627,0.042731896,0.091589589
